"Year","Series","Unit","Value"
"2023","New HIV infections, all ages","Per 1,000 population",0.65
"2000","New HIV infections, all ages, men","Per 100,000 population",47
"2001","New HIV infections, all ages, men","Per 100,000 population",51
"2002","New HIV infections, all ages, men","Per 100,000 population",54
"2003","New HIV infections, all ages, men","Per 100,000 population",54
"2004","New HIV infections, all ages, men","Per 100,000 population",52
"2005","New HIV infections, all ages, men","Per 100,000 population",50
"2006","New HIV infections, all ages, men","Per 100,000 population",45
"2007","New HIV infections, all ages, men","Per 100,000 population",40
"2008","New HIV infections, all ages, men","Per 100,000 population",35
"2009","New HIV infections, all ages, men","Per 100,000 population",32
"2010","New HIV infections, all ages, men","Per 100,000 population",32
"2011","New HIV infections, all ages, men","Per 100,000 population",32
"2012","New HIV infections, all ages, men","Per 100,000 population",31
"2013","New HIV infections, all ages, men","Per 100,000 population",31
"2014","New HIV infections, all ages, men","Per 100,000 population",30
"2015","New HIV infections, all ages, men","Per 100,000 population",0.33
"2016","New HIV infections, all ages, men","Per 100,000 population",0.34
"2017","New HIV infections, all ages, men","Per 100,000 population",0.35
"2018","New HIV infections, all ages, men","Per 100,000 population",0.38
"2019","New HIV infections, all ages, men","Per 100,000 population",0.39
"2020","New HIV infections, all ages, men","Per 100,000 population",0.42
"2021","New HIV infections, all ages, men","Per 100,000 population",0.44
"2022","New HIV infections, all ages, men","Per 100,000 population",0.46
"2023","New HIV infections, all ages, men","Per 100,000 population",0.48
"2000","New HIV infections, all ages, women","Per 100,000 population",62
"2001","New HIV infections, all ages, women","Per 100,000 population",67
"2002","New HIV infections, all ages, women","Per 100,000 population",72
"2003","New HIV infections, all ages, women","Per 100,000 population",71
"2004","New HIV infections, all ages, women","Per 100,000 population",69
"2005","New HIV infections, all ages, women","Per 100,000 population",65
"2006","New HIV infections, all ages, women","Per 100,000 population",60
"2007","New HIV infections, all ages, women","Per 100,000 population",52
"2008","New HIV infections, all ages, women","Per 100,000 population",47
"2009","New HIV infections, all ages, women","Per 100,000 population",43
"2010","New HIV infections, all ages, women","Per 100,000 population",43
"2011","New HIV infections, all ages, women","Per 100,000 population",44
"2012","New HIV infections, all ages, women","Per 100,000 population",43
"2013","New HIV infections, all ages, women","Per 100,000 population",44
"2014","New HIV infections, all ages, women","Per 100,000 population",45
"2015","New HIV infections, all ages, women","Per 100,000 population",0.5
"2016","New HIV infections, all ages, women","Per 100,000 population",0.53
"2017","New HIV infections, all ages, women","Per 100,000 population",0.56
"2018","New HIV infections, all ages, women","Per 100,000 population",0.63
"2019","New HIV infections, all ages, women","Per 100,000 population",0.66
"2020","New HIV infections, all ages, women","Per 100,000 population",0.72
"2021","New HIV infections, all ages, women","Per 100,000 population",0.75
"2022","New HIV infections, all ages, women","Per 100,000 population",0.79
"2023","New HIV infections, all ages, women","Per 100,000 population",0.84
